#node,Magenta Annotation
ABCF2,ATP binding cassette subfamily F member 2
DNAJA3,"DnaJ homolog subfamily A member 3, mitochondrial; Modulates apoptotic signal transduction or effector structures within the mitochondrial matrix. Affect cytochrome C release from the mitochondria and caspase 3 activation, but not caspase 8 activation. Isoform 1 increases apoptosis triggered by both TNF and the DNA-damaging agent mytomycin C; in sharp contrast, isoform 2 suppresses apoptosis. Can modulate IFN-gamma- mediated transcriptional activity. Isoform 2 may play a role in neuromuscular junction development as an effector of the MUSK signaling pathway; DNAJ heat shock proteins"
DNAJC9,"DnaJ homolog subfamily C member 9; May play a role as co-chaperone of the Hsp70 family proteins HSPA1A, HSPA1B and HSPA8; DNAJ heat shock proteins"
DNMT3A,DNA (cytosine-5)-methyltransferase 3A; Required for genome-wide de novo methylation and is essential for the establishment of DNA methylation patterns during development. DNA methylation is coordinated with methylation of histones. It modifies DNA in a non-processive manner and also methylates non-CpG sites. May preferentially methylate DNA linker between 2 nucleosomal cores and is inhibited by histone H1. Plays a role in paternal and maternal imprinting. Required for methylation of most imprinted loci in germ cells. Acts as a transcriptional corepressor for ZBTB18. Recruited to trimet [...] 
DONSON,"Protein downstream neighbor of Son; Replisome component that maintains genome stability by protecting stalled or damaged replication forks. After the induction of replication stress, required for the stabilization of stalled replication forks, the efficient activation of the intra- S-phase and G/2M cell-cycle checkpoints and the maintenance of genome stability"
DPF1,D4 zinc and double PHD fingers family 1 variant 4; Double PHD fingers 1; BAF complex
DPH2,"2-(3-amino-3-carboxypropyl)histidine synthase subunit 2; Required for the first step in the synthesis of diphthamide, a post-translational modification of histidine which occurs in translation elongation factor 2 (EEF2)"
DPH6,Diphthine--ammonia ligase; Amidase that catalyzes the last step of diphthamide biosynthesis using ammonium and ATP. Diphthamide biosynthesis consists in the conversion of an L-histidine residue in the translation elongation factor (EEF2) to diphthamide (By similarity)
DSCC1,"Sister chromatid cohesion protein DCC1; Loads PCNA onto primed templates regulating velocity, spacing and restart activity of replication forks. May couple DNA replication to sister chromatid cohesion through regulation of the acetylation of the cohesin subunit SMC3"
DSN1,Kinetochore-associated protein DSN1 homolog; Part of the MIS12 complex which is required for normal chromosome alignment and segregation and kinetochore formation during mitosis
DTL,"Denticleless protein homolog; Substrate-specific adapter of a DCX (DDB1-CUL4-X-box) E3 ubiquitin-protein ligase complex required for cell cycle control, DNA damage response and translesion DNA synthesis. The DCX(DTL) complex, also named CRL4(CDT2) complex, mediates the polyubiquitination and subsequent degradation of CDT1, CDKN1A/p21(CIP1), FBXO18/FBH1, KMT5A and SDE2. CDT1 degradation in response to DNA damage is necessary to ensure proper cell cycle regulation of DNA replication. CDKN1A/p21(CIP1) degradation during S phase or following UV irradiation is essential to control replicati [...] "
DUS4L,"tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like; Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs"
E2F1,"Transcription factor E2F1; Transcription activator that binds DNA cooperatively with DP proteins through the E2 recognition site, 5'-TTTC[CG]CGC- 3' found in the promoter region of a number of genes whose products are involved in cell cycle regulation or in DNA replication. The DRTF1/E2F complex functions in the control of cell-cycle progression from G1 to S phase. E2F1 binds preferentially RB1 in a cell-cycle dependent manner. It can mediate both cell proliferation and TP53/p53-dependent apoptosis. Blocks adipocyte differentiation by binding to specific promoters repressing CEBPA bind [...] "
E2F2,"Transcription factor E2F2; Transcription activator that binds DNA cooperatively with DP proteins through the E2 recognition site, 5'-TTTC[CG]CGC- 3' found in the promoter region of a number of genes whose products are involved in cell cycle regulation or in DNA replication. The DRTF1/E2F complex functions in the control of cell-cycle progression from g1 to s phase. E2F2 binds specifically to RB1 in a cell-cycle dependent manner; Belongs to the E2F/DP family"
E2F3,"Transcription factor E2F3; Transcription activator that binds DNA cooperatively with DP proteins through the E2 recognition site, 5'-TTTC[CG]CGC- 3' found in the promoter region of a number of genes whose products are involved in cell cycle regulation or in DNA replication. The DRTF1/E2F complex functions in the control of cell-cycle progression from G1 to S phase. E2F3 binds specifically to RB1 in a cell-cycle dependent manner. Inhibits adipogenesis, probably through the repression of CEBPA binding to its target gene promoters (By similarity)"
E2F5,"Transcription factor E2F5; Transcriptional activator that binds to E2F sites, these sites are present in the promoter of many genes whose products are involved in cell proliferation. May mediate growth factor- initiated signal transduction. It is likely involved in the early responses of resting cells to growth factor stimulation. Specifically required for multiciliate cell differentiation: together with MCIDAS and E2F5, binds and activate genes required for centriole biogenesis; Belongs to the E2F/DP family"
E2F7,"Transcription factor E2F7; Atypical E2F transcription factor that participates in various processes such as angiogenesis, polyploidization of specialized cells and DNA damage response. Mainly acts as a transcription repressor that binds DNA independently of DP proteins and specifically recognizes the E2 recognition site 5'- TTTC[CG]CGC-3'. Directly represses transcription of classical E2F transcription factors such as E2F1. Acts as a regulator of S-phase by recognizing and binding the E2-related site 5'-TTCCCGCC-3' and mediating repression of G1/S-regulated genes. Plays a key role in p [...] "
E2F8,"Transcription factor E2F8; Atypical E2F transcription factor that participates in various processes such as angiogenesis and polyploidization of specialized cells. Mainly acts as a transcription repressor that binds DNA independently of DP proteins and specifically recognizes the E2 recognition site 5'-TTTC[CG]CGC-3'. Directly represses transcription of classical E2F transcription factors such as E2F1: component of a feedback loop in S phase by repressing the expression of E2F1, thereby preventing p53/TP53-dependent apoptosis. Plays a key role in polyploidization of cells in placenta a [...] "
EARS2,"Probable glutamate--tRNA ligase, mitochondrial; Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction: glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu); Aminoacyl tRNA synthetases, Class I"
EFCAB11,EF-hand calcium-binding domain-containing protein 11; EF-hand calcium binding domain 11
EFNA2,"Ephrin-A2; Cell surface GPI-bound ligand for Eph receptors, a family of receptor tyrosine kinases which are crucial for migration, repulsion and adhesion during neuronal, vascular and epithelial development. Binds promiscuously Eph receptors residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. With the EPHA2 receptor may play a role in bone remodeling thro [...] "
EI24,Etoposide-induced protein 2.4 homolog; Acts as a negative growth regulator via p53-mediated apoptosis pathway. Regulates formation of degradative autolysosomes during autophagy (By similarity); Belongs to the EI24 family
EIF2AK1,"Eukaryotic translation initiation factor 2-alpha kinase 1; Inhibits protein synthesis at the translation initiation level, in response to various stress conditions, including oxidative stress, heme deficiency, osmotic shock and heat shock. Exerts its function through the phosphorylation of EIF2S1 at 'Ser- 48' and 'Ser-51', thus preventing its recycling. Binds hemin forming a 1:1 complex through a cysteine thiolate and histidine nitrogenous coordination. This binding occurs with moderate affinity, allowing it to sense the heme concentration within the cell. Thanks to this unique heme-se [...] "
EIF2S2,"Eukaryotic translation initiation factor 2 subunit 2; eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA. This complex binds to a 40S ribosomal subunit, followed by mRNA binding to form a 43S preinitiation complex. Junction of the 60S ribosomal subunit to form the 80S initiation complex is preceded by hydrolysis of the GTP bound to eIF-2 and release of an eIF-2-GDP binary complex. In order for eIF-2 to recycle and catalyze another round of initiation, the GDP bound to eIF-2 must exchange with GTP by way of a reaction catalyz [...] "
ELK1,ETS domain-containing protein Elk-1; Transcription factor that binds to purine-rich DNA sequences. Forms a ternary complex with SRF and the ETS and SRF motifs of the serum response element (SRE) on the promoter region of immediate early genes such as FOS and IER2. Induces target gene transcription upon JNK-signaling pathway stimulation (By similarity)
ELOVL6,"Elongation of very long chain fatty acids protein 6; Catalyzes the first and rate-limiting reaction of the four that constitute the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of 2 carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. Condensing enzyme that elongates fatty acids with 12, 14 and 16 carbons with higher activity toward C16:0 acyl-CoAs. Catalyzes the synthesis of unsaturated C16 long chain fatty acids and, to a lesser extent, C18:0 and those with low desaturation degree. May part [...] "
EMC2,ER membrane protein complex subunit 2; Tetratricopeptide repeat domain containing
EME1,"Crossover junction endonuclease EME1; Interacts with MUS81 to form a DNA structure-specific endonuclease with substrate preference for branched DNA structures with a 5'-end at the branch nick. Typical substrates include 3'- flap structures, replication forks and nicked Holliday junctions. May be required in mitosis for the processing of stalled or collapsed replication forks; Belongs to the EME1/MMS4 family"
EPCAM,"Epithelial cell adhesion molecule; May act as a physical homophilic interaction molecule between intestinal epithelial cells (IECs) and intraepithelial lymphocytes (IELs) at the mucosal epithelium for providing immunological barrier as a first line of defense against mucosal infection. Plays a role in embryonic stem cells proliferation and differentiation. Up-regulates the expression of FABP5, MYC and cyclins A and E; CD molecules"
ERCC6L,DNA excision repair protein ERCC-6-like; DNA helicase that acts as an essential component of the spindle assembly checkpoint. Contributes to the mitotic checkpoint by recruiting MAD2 to kinetochores and monitoring tension on centromeric chromatin. Acts as a tension sensor that associates with catenated DNA which is stretched under tension until it is resolved during anaphase. Functions as ATP-dependent DNA translocase. Can promote Holliday junction branch migration (in vitro)
ESCO2,"N-acetyltransferase ESCO2; Acetyltransferase required for the establishment of sister chromatid cohesion. Couples the processes of cohesion and DNA replication to ensure that only sister chromatids become paired together. In contrast to the structural cohesins, the deposition and establishment factors are required only during the S phase. Acetylates the cohesin component SMC3"
ESPL1,"Separin; Caspase-like protease, which plays a central role in the chromosome segregation by cleaving the SCC1/RAD21 subunit of the cohesin complex at the onset of anaphase. During most of the cell cycle, it is inactivated by different mechanisms"
ETFA,"Electron transfer flavoprotein subunit alpha, mitochondrial; Heterodimeric electron transfer flavoprotein that accepts electrons from several mitochondrial dehydrogenases, including acyl-CoA dehydrogenases, glutaryl-CoA and sarcosine dehydrogenase. It transfers the electrons to the main mitochondrial respiratory chain via ETF-ubiquinone oxidoreductase (ETF dehydrogenase). Required for normal mitochondrial fatty acid oxidation and normal amino acid metabolism"
EXO1,Exonuclease 1; 5'->3' double-stranded DNA exonuclease which may also possess a cryptic 3'->5' double-stranded DNA exonuclease activity. Functions in DNA mismatch repair (MMR) to excise mismatch- containing DNA tracts directed by strand breaks located either 5' or 3' to the mismatch. Also exhibits endonuclease activity against 5'-overhanging flap structures similar to those generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. Required for somatic hypermutation (SHM) and class switch recombination (CSR) of immunoglobulin genes. E [...] 
EZH2,"Histone-lysine N-methyltransferase EZH2; Polycomb group (PcG) protein. Catalytic subunit of the PRC2/EED-EZH2 complex, which methylates 'Lys-9' (H3K9me) and 'Lys- 27' (H3K27me) of histone H3, leading to transcriptional repression of the affected target gene. Able to mono-, di- and trimethylate 'Lys-27' of histone H3 to form H3K27me1, H3K27me2 and H3K27me3, respectively. Displays a preference for substrates with less methylation, loses activity when progressively more methyl groups are incorporated into H3K27, H3K27me0 > H3K27me1 > H3K27me2. Compared to EZH1-containing complexes, it is  [...] "
FAM111B,Protein FAM111B; Family with sequence similarity 111 member B; Belongs to the FAM111 family
FAM120AOS,Uncharacterized protein FAM120AOS; Family with sequence similarity 120A opposite strand
FAM185A,Protein FAM185A; Family with sequence similarity 185 member A
FAM206A,Protein Simiate; Family with sequence similarity 206 member A
FAM220A,Protein FAM220A; May negatively regulate STAT3
FAM64A,"Protein PIMREG; During mitosis, may play a role in the control of metaphase-to-anaphase transition"
FAM72A,Protein FAM72A; May play a role in the regulation of cellular reactive oxygen species metabolism. May participate in cell growth regulation; Belongs to the FAM72 family
FAM72B,Protein FAM72B; Family with sequence similarity 72 member B; Belongs to the FAM72 family
FAM72D,Protein FAM72D; Family with sequence similarity 72 member D
FAM84B,Protein FAM84B; Family with sequence similarity 84 member B; Belongs to the FAM84 family
FANCA,Fanconi anemia group A protein; DNA repair protein that may operate in a postreplication repair or a cell cycle checkpoint function. May be involved in interstrand DNA cross-link repair and in the maintenance of normal chromosome stability; Fanconi anemia complementation groups
FANCC,"Fanconi anemia group C protein; DNA repair protein that may operate in a postreplication repair or a cell cycle checkpoint function. May be implicated in interstrand DNA cross-link repair and in the maintenance of normal chromosome stability. Upon IFNG induction, may facilitate STAT1 activation by recruiting STAT1 to IFNGR1; Fanconi anemia complementation groups"
FANCD2,"Fanconi anemia group D2 protein; Required for maintenance of chromosomal stability. Promotes accurate and efficient pairing of homologs during meiosis. Involved in the repair of DNA double-strand breaks, both by homologous recombination and single-strand annealing. May participate in S phase and G2 phase checkpoint activation upon DNA damage. Plays a role in preventing breakage and loss of missegregating chromatin at the end of cell division, particularly after replication stress. Required for the targeting, or stabilization, of BLM to non-centromeric abnormal structures induced by rep [...] "
FANCF,Fanconi anemia group F protein; DNA repair protein that may operate in a postreplication repair or a cell cycle checkpoint function. May be implicated in interstrand DNA cross-link repair and in the maintenance of normal chromosome stability (By similarity); Fanconi anemia complementation groups
FANCG,Fanconi anemia group G protein; DNA repair protein that may operate in a postreplication repair or a cell cycle checkpoint function. May be implicated in interstrand DNA cross-link repair and in the maintenance of normal chromosome stability. Candidate tumor suppressor gene; Fanconi anemia complementation groups
FANCI,Fanconi anemia group I protein; Plays an essential role in the repair of DNA double- strand breaks by homologous recombination and in the repair of interstrand DNA cross-links (ICLs) by promoting FANCD2 monoubiquitination by FANCL and participating in recruitment to DNA repair sites. Required for maintenance of chromosomal stability. Specifically binds branched DNA: binds both single- stranded DNA (ssDNA) and double-stranded DNA (dsDNA). Participates in S phase and G2 phase checkpoint activation upon DNA damage; Fanconi anemia complementation groups
FBXO43,F-box only protein 43; Required to establish and maintain the arrest of oocytes at the second meiotic metaphase until fertilization. Probably acts by inhibiting the anaphase-promoting complex/cyclosome (APC/C) ubiquitin ligase. Probably recognizes and binds to some phosphorylated proteins and promotes their ubiquitination and degradation (Probable); F-boxes other
FBXO45,"F-box/SPRY domain-containing protein 1; Component of E3 ubiquitin ligase complexes. Required for normal neuromuscular synaptogenesis, axon pathfinding and neuronal migration (By similarity). Plays a role in the regulation of neurotransmission at mature neurons (By similarity). May control synaptic activity by controlling UNC13A via ubiquitin dependent pathway (By similarity). Specifically recognizes TP73, promoting its ubiquitination and degradation; F-boxes other"
FBXO5,F-box only protein 5; Regulates progression through early mitosis by inhibiting the anaphase promoting complex/cyclosome (APC). Binds to the APC activators CDC20 and FZR1/CDH1 to prevent APC activation. Can also bind directly to the APC to inhibit substrate-binding; F-boxes other
FEN1,"Flap endonuclease 1; Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base, leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway, by cleaving within the apurinic/apyrimidinic (AP) site-terminated flap. Acts as a  [...] "
FGFR1OP,FGFR1 oncogene partner; Required for anchoring microtubules to the centrosomes. Required for ciliation
FH,"Fumarate hydratase, mitochondrial; Also acts as a tumor suppressor; Belongs to the class-II fumarase/aspartase family. Fumarase subfamily"
FNDC8,Fibronectin type III domain containing 8
FOPNL,LisH domain-containing protein FOPNL; Involved in the biogenesis of cilia. Required for the recruitement of PLK1 to centrosomes and S phase progression
FOXM1,Forkhead box protein M1; Transcriptional factor regulating the expression of cell cycle genes essential for DNA replication and mitosis. Plays a role in the control of cell proliferation. Plays also a role in DNA breaks repair participating in the DNA damage checkpoint response; Forkhead boxes
FOXRED2,FAD-dependent oxidoreductase domain-containing protein 2; Probable flavoprotein which may function in endoplasmic reticulum associated degradation (ERAD). May bind non-native proteins in the endoplasmic reticulum and target them to the ubiquitination machinery for subsequent degradation
GARS,"Glycine--tRNA ligase; Catalyzes the ligation of glycine to the 3'-end of its cognate tRNA. Also produces diadenosine tetraphosphate (Ap4A), a universal pleiotropic signaling molecule needed for cell regulation pathways, by direct condensation of 2 ATPs; Belongs to the class-II aminoacyl-tRNA synthetase family"
GATAD2A,Transcriptional repressor p66-alpha; Transcriptional repressor. Enhances MBD2-mediated repression. Efficient repression requires the presence of GATAD2B; GATA zinc finger domain containing
GBAS,Protein NipSnap homolog 2; May act as a positive regulator of L-type calcium channels; Belongs to the NipSnap family
GEMIN2,"Gem-associated protein 2; The SMN complex plays a catalyst role in the assembly of small nuclear ribonucleoproteins (snRNPs), the building blocks of the spliceosome. Thereby, plays an important role in the splicing of cellular pre-mRNAs. Most spliceosomal snRNPs contain a common set of Sm proteins SNRPB, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF and SNRPG that assemble in a heptameric protein ring on the Sm site of the small nuclear RNA to form the core snRNP. In the cytosol, the Sm proteins SNRPD1, SNRPD2, SNRPE, SNRPF and SNRPG are trapped in an inactive 6S pICln-Sm complex by the chapero [...] "
GGCT,Gamma-glutamylcyclotransferase; Catalyzes the formation of 5-oxoproline from gamma- glutamyl dipeptides and may play a significant role in glutathione homeostasis. Induces release of cytochrome c from mitochondria with resultant induction of apoptosis; Belongs to the gamma-glutamylcyclotransferase family
GID8,Glucose-induced degradation protein 8 homolog; GID complex subunit 8 homolog
GINS1,"DNA replication complex GINS protein PSF1; The GINS complex plays an essential role in the initiation of DNA replication, and progression of DNA replication forks. GINS complex seems to bind preferentially to single- stranded DNA. GINS1 is essential for function"
GINS2,"DNA replication complex GINS protein PSF2; The GINS complex plays an essential role in the initiation of DNA replication, and progression of DNA replication forks. GINS complex seems to bind preferentially to single- stranded DNA"
GINS3,GINS complex subunit 3
GINS4,"DNA replication complex GINS protein SLD5; The GINS complex plays an essential role in the initiation of DNA replication, and progression of DNA replication forks. GINS4 is important for GINS complex assembly. GINS complex seems to bind preferentially to single-stranded DNA"
GLE1,Nucleoporin GLE1; Required for the export of mRNAs containing poly(A) tails from the nucleus into the cytoplasm. May be involved in the terminal step of the mRNA transport through the nuclear pore complex (NPC); Belongs to the GLE1 family
GMPS,"GMP synthase [glutamine-hydrolyzing]; Involved in the de novo synthesis of guanine nucleotides which are not only essential for DNA and RNA synthesis, but also provide GTP, which is involved in a number of cellular processes important for cell division; Glutamine amidotransferase like class 1 domain containing"
GNL3,"Guanine nucleotide-binding protein-like 3; May be required to maintain the proliferative capacity of stem cells. Stabilizes MDM2 by preventing its ubiquitination, and hence proteasomal degradation (By similarity); Belongs to the TRAFAC class YlqF/YawG GTPase family"
GPR137C,Integral membrane protein GPR137C; G protein-coupled receptor 137C
GPR160,"Probable G-protein coupled receptor 160; Orphan receptor; G protein-coupled receptors, Class A orphans"
GPR19,"Probable G-protein coupled receptor 19; Orphan receptor; G protein-coupled receptors, Class A orphans"
GPRIN1,G protein-regulated inducer of neurite outgrowth 1; May be involved in neurite outgrowth
GRPEL2,"GrpE protein homolog 2, mitochondrial; Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner. Seems to control the nucleotide-dependent binding of mitochondrial HSP70 to substrate proteins. Stimulates ATPase activity of mt-HSP70. May also serve to modulate the interconversion of oligomeric (inactive) and monomeric (active) forms of mt-HSP70 (By similarity); Belongs to the GrpE family"
GRSF1,"G-rich sequence factor 1; Regulator of post-transcriptional mitochondrial gene expression, required for assembly of the mitochondrial ribosome and for recruitment of mRNA and lncRNA. Binds RNAs containing the 14 base G-rich element. Preferentially binds RNAs transcribed from three contiguous genes on the light strand of mtDNA, the ND6 mRNA, and the long non-coding RNAs for MT-CYB and MT-ND5, each of which contains multiple consensus binding sequences"
GSG2,"Serine/threonine-protein kinase haspin; Serine/threonine-protein kinase that phosphorylates histone H3 at 'Thr-3' (H3T3ph) during mitosis. May act through H3T3ph to both position and modulate activation of AURKB and other components of the chromosomal passenger complex (CPC) at centromeres to ensure proper chromatid cohesion, metaphase alignment and normal progression through the cell cycle"
GTSE1,G2 and S phase-expressed protein 1; May be involved in p53-induced cell cycle arrest in G2/M phase by interfering with microtubule rearrangements that are required to enter mitosis. Overexpression delays G2/M phase progression
H2AFY,"Core histone macro-H2A.1; Variant histone H2A which replaces conventional H2A in a subset of nucleosomes where it represses transcription. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling. Involved in stable X chromosome inactivation [...] "
H2AFZ,"Histone H2A.Z; Variant histone H2A which replaces conventional H2A in a subset of nucleosomes. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling. May be involved in the formation of constitutive heterochromatin. May be required for ch [...] "
HEATR2,"Dynein assembly factor 5, axonemal; Cytoplasmic protein involved in the delivery of the dynein machinery to the motile cilium. It is required for the assembly of the axonemal dynein inner and outer arms, two structures attached to the peripheral outer doublet A microtubule of the axoneme, that play a crucial role in cilium motility"
HELLS,"Lymphoid-specific helicase; Plays an essential role in normal development and survival. Involved in regulation of the expansion or survival of lymphoid cells. Required for de novo or maintenance DNA methylation. May control silencing of the imprinted CDKN1C gene through DNA methylation. May play a role in formation and organization of heterochromatin, implying a functional role in the regulation of transcription and mitosis (By similarity)"
HILPDA,"Hypoxia-inducible lipid droplet-associated protein; Increases intracellular lipid accumulation. Stimulates expression of cytokines including IL6, MIF and VEGFA. Enhances cell growth and proliferation"
HIST1H1B,"Histone H1.5; Histone H1 protein binds to linker DNA between nucleosomes forming the macromolecular structure known as the chromatin fiber. Histones H1 are necessary for the condensation of nucleosome chains into higher-order structured fibers. Acts also as a regulator of individual gene transcription through chromatin remodeling, nucleosome spacing and DNA methylation (By similarity)"
HIST1H2BN,"Histone H2B type 1-N; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
HIST1H3B,"Histone H3.1; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
HIST1H3J,"Histone cluster 1 H3 family member j; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
HIST3H2BB,"Histone H2B type 3-B; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
HJURP,Holliday junction recognition protein; Centromeric protein that plays a central role in the incorporation and maintenance of histone H3-like variant CENPA at centromeres. Acts as a specific chaperone for CENPA and is required for the incorporation of newly synthesized CENPA molecules into nucleosomes at replicated centromeres. Prevents CENPA-H4 tetramerization and prevents premature DNA binding by the CENPA-H4 tetramer. Directly binds Holliday junctions
HMGB2,"High mobility group protein B2; Multifunctional protein with various roles in different cellular compartments. May act in a redox sensitive manner. In the nucleus is an abundant chromatin-associated non-histone protein involved in transcription, chromatin remodeling and V(D)J recombination and probably other processes. Binds DNA with a preference to non-canonical DNA structures such as single-stranded DNA. Can bent DNA and enhance DNA flexibility by looping thus providing a mechanism to promote activities on various gene promoters by enhancing transcription factor binding and/or bringi [...] "
HMGB3,High mobility group protein B3; Multifunctional protein with various roles in different cellular compartments. May act in a redox sensitive manner. Associates with chromatin and binds DNA with a preference to non- canonical DNA structures such as single-stranded DNA. Can bent DNA and enhance DNA flexibility by looping thus providing a mechanism to promote activities on various gene promoters (By similarity). Proposed to be involved in the innate immune response to nucleic acids by acting as a cytoplasmic promiscuous immunogenic DNA/RNA sensor (By similarity). Negatively regulates B-cel [...] 
HMMR,"Hyaluronan mediated motility receptor; Receptor for hyaluronic acid (HA) (By similarity). Involved in cell motility (By similarity). When hyaluronan binds to HMMR, the phosphorylation of a number of proteins, including PTK2/FAK1 occurs. May also be involved in cellular transformation and metastasis formation, and in regulating extracellular- regulated kinase (ERK) activity. May act as a regulator of adipogenisis (By similarity); CD molecules"
HN1L,Jupiter microtubule associated homolog 2; Hematological and neurological expressed 1-like; Belongs to the JUPITER family
HNRNPK,"Heterogeneous nuclear ribonucleoprotein K; One of the major pre-mRNA-binding proteins. Binds tenaciously to poly(C) sequences. Likely to play a role in the nuclear metabolism of hnRNAs, particularly for pre-mRNAs that contain cytidine-rich sequences. Can also bind poly(C) single- stranded DNA. Plays an important role in p53/TP53 response to DNA damage, acting at the level of both transcription activation and repression. When sumoylated, acts as a transcriptional coactivator of p53/TP53, playing a role in p21/CDKN1A and 14-3-3 sigma/SFN induction (By similarity). As far as transcription [...] "
HPRT1,"Hypoxanthine-guanine phosphoribosyltransferase; Converts guanine to guanosine monophosphate, and hypoxanthine to inosine monophosphate. Transfers the 5- phosphoribosyl group from 5-phosphoribosylpyrophosphate onto the purine. Plays a central role in the generation of purine nucleotides through the purine salvage pathway"
HSF2BP,"Heat shock factor 2-binding protein; May be involved in modulating HSF2 activation in testis. Inhibits BNC1 transcriptional activity during spermatogenesis, probably by sequestering it in the cytoplasm (By similarity); Armadillo-like helical domain containing"
HSP90AB1,"Heat shock protein HSP 90-beta; Molecular chaperone that promotes the maturation, structural maintenance and proper regulation of specific target proteins involved for instance in cell cycle control and signal transduction. Undergoes a functional cycle that is linked to its ATPase activity. This cycle probably induces conformational changes in the client proteins, thereby causing their activation. Interacts dynamically with various co-chaperones that modulate its substrate recognition, ATPase cycle and chaperone function. Engages with a range of client protein classes via its interacti [...] "
HSPA9,"Stress-70 protein, mitochondrial; Chaperone protein which plays an important role in mitochondrial iron-sulfur cluster (ISC) biogenesis. Interacts with and stabilizes ISC cluster assembly proteins FXN, NFU1, NFS1 and ISCU. Regulates erythropoiesis via stabilization of ISC assembly. May play a role in the control of cell proliferation and cellular aging (By similarity); Belongs to the heat shock protein 70 family"
HSPD1,"60 kDa heat shock protein, mitochondrial; Chaperonin implicated in mitochondrial protein import and macromolecular assembly. Together with Hsp10, facilitates the correct folding of imported proteins. May also prevent misfolding and promote the refolding and proper assembly of unfolded polypeptides generated under stress conditions in the mitochondrial matrix. The functional units of these chaperonins consist of heptameric rings of the large subunit Hsp60, which function as a back-to-back double ring. In a cyclic reaction, Hsp60 ring complexes bind one unfolded substrate protein per rin [...] "
HYLS1,Hydrolethalus syndrome protein 1; Plays a role in ciliogenesis
IL36RN,"Interleukin-36 receptor antagonist protein; Inhibits the activity of interleukin-36 (IL36A,IL36B and IL36G) by binding to receptor IL1RL2 and preventing its association with the coreceptor IL1RAP for signaling. Part of the IL-36 signaling system that is thought to be present in epithelial barriers and to take part in local inflammatory response; similar to the IL-1 system with which it shares the coreceptor. Proposed to play a role in skin inflammation. May be involved in the innate immune response to fungal pathogens, such as Aspergillus fumigatus. May activate an anti-inflammatory si [...] "
ILF2,Interleukin enhancer-binding factor 2; Appears to function predominantly as a heterodimeric complex with ILF3. This complex may regulate transcription of the IL2 gene during T-cell activation. It can also promote the formation of stable DNA-dependent protein kinase holoenzyme complexes on DNA. Essential for the efficient reshuttling of ILF3 (isoform 1 and isoform 2) into the nucleus
